year,life_expectancy_birth_yrs_who,hale_birth_yrs,u5mr_who,ncd_premature_pct,ncd_3070_probability_pct,total_ncd_deaths,suicide_rate_crude_who,suicide_rate_agestd_who,tb_incidence_per100k,hiv_new_infections_n,hiv_new_infections_per1000,malaria_incidence_per1000atrisk,oop_pct_che,oop_percapita_usd,che_pct_gdp,che_percapita_usd,uhc_service_coverage_index,pm25_conc_ugm3,air_pollution_ambient_daly,air_pollution_household_daly,life_expectancy_birth_yrs_wb,suicide_rate_wb,che_pct_gdp_wb,tfr_national_wb,pm25_exposure_wb
1932,,,366.43137244,,,,,,,,,,,,,,,,,,,,,,
1933,,,359.889731696,,,,,,,,,,,,,,,,,,,,,,
1934,,,353.180017146,,,,,,,,,,,,,,,,,,,,,,
1935,,,346.170709984,,,,,,,,,,,,,,,,,,,,,,
1936,,,339.577632229,,,,,,,,,,,,,,,,,,,,,,
1937,,,333.088715842,,,,,,,,,,,,,,,,,,,,,,
1938,,,326.872104768,,,,,,,,,,,,,,,,,,,,,,
1939,,,320.452781392,,,,,,,,,,,,,,,,,,,,,,
1940,,,313.733529928,,,,,,,,,,,,,,,,,,,,,,
1941,,,306.853653899,,,,,,,,,,,,,,,,,,,,,,
1942,,,300.162323173,,,,,,,,,,,,,,,,,,,,,,
1943,,,293.984169069,,,,,,,,,,,,,,,,,,,,,,
1944,,,287.738272982,,,,,,,,,,,,,,,,,,,,,,
1945,,,281.881700471,,,,,,,,,,,,,,,,,,,,,,
1946,,,276.085826519,,,,,,,,,,,,,,,,,,,,,,
1947,,,270.434586317,,,,,,,,,,,,,,,,,,,,,,
1948,,,264.810054603,,,,,,,,,,,,,,,,,,,,,,
1949,,,258.867349335,,,,,,,,,,,,,,,,,,,,,,
1950,,,253.026147792,,,,,,,,,,,,,,,,,,,,,,
1951,,,247.342937965,,,,,,,,,,,,,,,,,,,,,,
1952,,,241.743494062,,,,,,,,,,,,,,,,,,,,,,
1953,,,236.509526704,,,,,,,,,,,,,,,,,,,,,,
1954,,,231.514710333,,,,,,,,,,,,,,,,,,,,,,
1955,,,226.672213134,,,,,,,,,,,,,,,,,,,,,,
1956,,,222.267325566,,,,,,,,,,,,,,,,,,,,,,
1957,,,218.616902952,,,,,,,,,,,,,,,,,,,,,,
1958,,,215.129816371,,,,,,,,,,,,,,,,,,,,,,
1959,,,212.008314453,,,,,,,,,,,,,,,,,,,,,,
1960,,,209.2229147,,,,,,,,,,,,,,,,,,46.942,,,6.89,
1961,,,207.046943653,,,,,,,,,,,,,,,,,,47.127,,,6.912,
1962,,,205.287740001,,,,,,,,,,,,,,,,,,47.335,,,6.942,
1963,,,203.935840457,,,,,,,,,,,,,,,,,,47.476,,,6.936,
1964,,,203.105553455,,,,,,,,,,,,,,,,,,47.637,,,6.902,
1965,,,202.654599839,,,,,,,,,,,,,,,,,,47.689,,,6.88,
1966,,,202.56299876,,,,,,,,,,,,,,,,,,47.708,,,6.862,
1967,,,202.667169455,,,,,,,,,,,,,,,,,,47.734,,,6.893,
1968,,,202.89816362,,,,,,,,,,,,,,,,,,47.758,,,6.892,
1969,,,202.735014807,,,,,,,,,,,,,,,,,,47.895,,,6.954,
1970,,,202.303519387,,,,,,,,,,,,,,,,,,47.888,,,6.952,
1971,,,201.100668153,,,,,,,,,,,,,,,,,,47.949,,,6.946,
1972,,,198.97207291,,,,,,,,,,,,,,,,,,48.274,,,6.916,
1973,,,195.879107372,,,,,,,,,,,,,,,,,,48.577,,,6.872,
1974,,,191.758630976,,,,,,,,,,,,,,,,,,48.918,,,6.822,
1975,,,186.744829037,,,,,,,,,,,,,,,,,,49.323,,,6.762,
1976,,,181.465993062,,,,,,,,,,,,,,,,,,49.732,,,6.703,
1977,,,176.515289584,,,,,,,,,,,,,,,,,,50.079,,,6.637,
1978,,,172.253074519,,,,,,,,,,,,,,,,,,50.461,,,6.564,
1979,,,169.100339579,,,,,,,,,,,,,,,,,,50.787,,,6.513,
1980,,,166.988918453,,,,,,,,,,,,,,,,,,51.059,,,6.474,
1981,,,165.459568637,,,,,,,,,,,,,,,,,,51.313,,,6.415,
1982,,,163.896811123,,,,,,,,,,,,,,,,,,51.425,,,6.312,
1983,,,161.940146755,,,,,,,,,,,,,,,,,,51.78,,,6.227,
1984,,,159.043887205,,,,,,,,,,,,,,,,,,52.232,,,6.153,
1985,,,155.057731202,,,,,,,,,,,,,,,,,,52.732,,,6.119,
1986,,,149.987278765,,,,,,,,,,,,,,,,,,53.276,,,6.084,
1987,,,144.318522892,,,,,,,,,,,,,,,,,,53.818,,,6.022,
1988,,,138.314937606,,,,,,,,,,,,,,,,,,54.396,,,5.922,
1989,,,132.615464234,,,,,,,,,,,,,,,,,,54.936,,,5.818,
1990,,,127.484437459,,,,,,,,2.0,,,,,,,,,,55.395,,,5.737,60.8458994819591
1991,,,123.322546083,,,,,,,,2.3,,,,,,,,,,55.722,,,5.63,56.8753502508704
1992,,,120.101709981,,,,,,,,2.3,,,,,,,,,,56.055,,,5.517,53.8815753024183
1993,,,117.741570667,,,,,,,,2.4,,,,,,,,,,56.286,,,5.414,51.8103276101207
1994,,,116.007543777,,,,,,,,2.4,,,,,,,,,,56.234,,,5.254,50.6073601474957
