STARTYEAR,Numeric,Low,High,source_note
1932,366.43137244,278.330657748,485.381291162,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1933,359.889731696,284.656471995,456.492349282,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1934,353.180017146,289.189447726,433.578735104,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1935,346.170709984,291.586896334,413.907353283,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1936,339.577632229,291.067146167,397.544280479,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1937,333.088715842,289.087486518,384.142273118,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1938,326.872104768,285.686548069,373.654634279,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1939,320.452781392,280.075524074,364.917203877,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1940,313.733529928,274.34589431,358.015380316,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1941,306.853653899,267.878858749,350.853783367,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1942,300.162323173,261.225742841,344.110244933,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1943,293.984169069,255.363662823,337.307302515,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1944,287.738272982,249.693347402,330.833339851,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1945,281.881700471,244.687049086,324.439289368,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1946,276.085826519,239.634124519,317.523610453,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1947,270.434586317,234.802189498,310.208209037,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1948,264.810054603,230.026186418,303.103009196,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1949,258.867349335,225.514217306,295.539341507,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
1950,253.026147792,220.931067336,288.165500786,"WHO GHO OData API MDG_0000000007, SEX_BTSX, WEALTHQUINTILE_TOTL, fetched 2026-07-06"
