region,district,class,lat,lon,employed,unemployed,poverty_incidence,poverty_intensity,illiterate_pop,uninsured_pop,m_0_14,f_0_14,m_15_64,f_15_64,m_65p,f_65p,total_pop,literacy_rate,uninsured_rate,elderly_share_65plus,unemployment_rate,geojson_district,geojson_area_deg2,pop_density_relative,illiteracy_rate,dependency_ratio,vulnerability_pc1,insurance_access_pc2,gistar_z,gistar_class
Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,51611,45446,26.1,42.0,39814,21534,27637,26564,46535,44897,2715,2910,151258,0.7367808644832009,0.1423660236152798,0.0371881156699149,0.468240312393748,ASUNAFO NORTH MUNICIPAL,0.1154639124809993,1310002.3786643378,0.2632191355167991,65.43223379123283,-0.8337867606712582,-0.3899314831689477,-0.329626,NOT_SIGNIFICANT
Ahafo,Asunafo South,District,6.56280465,-2.53279356335542,32671,25169,26.2,42.7,26493,43550,17439,16414,27748,26493,1769,1830,91693,0.711068456697894,0.4749544676256639,0.0392505425714067,0.4351486860304288,ASUNAFO SOUTH,0.0755043606983356,1214406.679984262,0.288931543302106,69.04739956859203,-0.5140933290342085,1.4043451148072554,-0.29463,NOT_SIGNIFICANT
Ahafo,Asutifi North,District,7.07651835,-2.52531850396715,24423,23087,26.6,43.1,18794,12723,13205,12841,23097,21584,1361,1468,73556,0.7444939909728643,0.1729702539561694,0.0384604926858447,0.4859398021469164,ASUTIFI NORTH,0.0766175699789784,960040.8890569304,0.2555060090271357,64.62478458405138,-0.5255935047515111,-0.6099983979479227,-0.538417,NOT_SIGNIFICANT
Ahafo,Asutifi South,District,6.84924284999999,-2.46125343688365,21582,20836,23.2,42.4,19701,14593,12878,12038,20319,19574,1194,1331,67334,0.7074137879822973,0.2167255769744854,0.0374996287165473,0.4912065632514498,ASUTIFI SOUTH,0.048854651350644,1378251.5715182226,0.29258621201770274,68.78650389792695,-0.5139187071943186,-0.19953983626163274,-0.35375,NOT_SIGNIFICANT
Ahafo,Tano North Municipal,Municipal,7.19329065,-2.2080833699397,31439,29602,21.6,42.3,22005,13235,16935,15862,27631,28903,1968,2539,93838,0.7655001172232997,0.1410409429015963,0.0480295828981862,0.4849527366851788,TANO NORTH MUNICIPAL,0.0685611134461927,1368676.7218803226,0.2344998827767003,65.98507093076734,-0.9340196620021132,-0.6657463897353316,-0.442045,NOT_SIGNIFICANT
Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,28999,26149,23.7,42.6,24275,17791,16367,15474,24906,26294,1636,2312,86989,0.7209417282644932,0.2045201117382657,0.0453850486843164,0.4741604409951404,TANO SOUTH MUNICIPAL,0.0400424343556178,2172420.3685382507,0.2790582717355068,69.900390625,-0.5403235672668538,-0.18267128702128965,-0.229974,NOT_SIGNIFICANT
Ashanti,Adansi Asokwa,District,6.2467263,-1.50841,23550,21838,32.4,43.3,20304,36029,13691,12765,20664,21335,1589,1800,71844,0.7173876732921329,0.5014893380101331,0.0471716496854295,0.4811403895302723,ADANSI ASOKWA,0.0487001672875422,1475231.0721195017,0.28261232670786707,71.06121574323198,0.12341992080218404,1.2225957634476212,-0.242896,NOT_SIGNIFICANT
Ashanti,Adansi North,District,6.3006124,-1.5897139446089,17411,18501,19.7,42.8,9833,14965,9247,8996,16537,16948,998,1429,54155,0.8184285846182254,0.2763364416951343,0.0448158064813959,0.5151759857429271,ADANSI NORTH,0.0210778295525662,2569287.310391343,0.18157141538177457,61.729132447364485,-1.0237668729277654,-0.4922706764001756,-0.456487,NOT_SIGNIFICANT
Ashanti,Adansi South,District,6.00427495,-1.39314032189093,29633,24270,35.0,43.2,23064,39272,16212,15085,24648,25348,1692,2215,85200,0.7292957746478873,0.4609389671361502,0.045856807511737,0.4502532326586646,ADANSI SOUTH,0.0621044993410317,1371881.279199191,0.2707042253521127,70.41363309064725,-0.018445099465623286,1.2556327268232983,-0.058783,NOT_SIGNIFICANT
Ashanti,Afigya Kwabre North,District,7.03891495,-1.62667127242319,21350,22931,25.2,43.7,17584,22087,15067,13982,20273,21082,1268,1658,73330,0.7602072821491885,0.3012000545479339,0.0399018137188054,0.5178519003635871,AFIGYA KWABRE NORTH,0.0152600918651426,4805344.597400594,0.23979271785081147,77.31834119211703,0.11638183595824288,-0.1300206211333202,-0.239377,NOT_SIGNIFICANT
Ashanti,Afigya Kwabre South,District,6.83998064999999,-1.60957900170106,75019,72938,13.0,43.3,31504,58599,43742,42968,68528,72634,2797,3998,234667,0.8657501906957519,0.2497112930237315,0.0289559247785159,0.4929675513831721,AFIGYA KWABRE SOUTH,0.0182478813633313,12859958.661916642,0.13424980930424812,66.23949788186623,-1.2801386729111257,-0.6662758861459798,-0.626573,NOT_SIGNIFICANT
