indicator,year,mean,ci_low,ci_high
u5mr_who,2024,35.738722395784784,35.637989416547,35.83974010301289
u5mr_who,2025,34.5370294451036,34.202715031961155,34.874611614233544
u5mr_who,2026,33.419680360539424,32.713277790645456,34.141336815841825
u5mr_who,2027,32.35503496233694,31.16113989497025,33.594672433116564
u5mr_who,2028,31.322804724005433,29.562103377068954,33.18837239907703
u5mr_who,2029,30.313220470877166,27.943611668229238,32.88377129720668
u5mr_who,2030,29.32402340474733,26.334445139397538,32.6529890449722
tb_incidence_per100k,2025,122.43781279804244,121.36294679390289,123.5221984863803
tb_incidence_per100k,2026,119.58068938920223,117.98964971844278,121.19318354550319
tb_incidence_per100k,2027,116.37766479872786,113.83464085347319,118.97749896218724
tb_incidence_per100k,2028,113.67920886215899,110.36401091735394,117.09399123962362
tb_incidence_per100k,2029,110.7768262017976,106.48341713518256,115.24334542874766
tb_incidence_per100k,2030,108.24184319398286,103.06964993554054,113.67358505009099
malaria_incidence_per1000atrisk,2024,175.25788237215775,164.6598719312488,186.53801301629701
malaria_incidence_per1000atrisk,2025,161.13717493627686,137.9580427033683,188.21076783666444
malaria_incidence_per1000atrisk,2026,152.4704490154215,117.21353500535005,198.33236683718445
malaria_incidence_per1000atrisk,2027,148.3560571656763,102.45629152140519,214.81862529786358
malaria_incidence_per1000atrisk,2028,147.40309690046053,92.31884852793922,235.3546791614383
malaria_incidence_per1000atrisk,2029,148.2738472173675,85.31744705283006,257.68625911914194
malaria_incidence_per1000atrisk,2030,149.89452306827098,80.26546333181169,279.9257253768261
