REGION,tfr_2022,gistar_z,gistar_p,gistar_class
AHAFO,4.3,-0.4882220482910766,0.125,NOT_SIGNIFICANT
ASHANTI,3.5,-0.44231328425647354,0.098,NOT_SIGNIFICANT
BONO,3.7,-0.018540077783205565,0.432,NOT_SIGNIFICANT
BONO EAST,4.7,0.08034033706055713,0.458,NOT_SIGNIFICANT
CENTRAL,3.6,-0.8260634656739322,0.006,NOT_SIGNIFICANT
EASTERN,3.5,-0.5129421520020184,0.059,NOT_SIGNIFICANT
GREATER ACCRA,2.9,-1.0073442262208305,0.004,NOT_SIGNIFICANT
NORTHERN,5.6,1.4646661448732323,0.003,NOT_SIGNIFICANT
NORTHERN EAST,6.6,1.0889205684669347,0.004,NOT_SIGNIFICANT
OTI,5.2,0.3440214433105903,0.244,NOT_SIGNIFICANT
SAVANNAH,5.8,0.8290063351633299,0.005,NOT_SIGNIFICANT
UPPER EAST,4.6,0.904343794091911,0.068,NOT_SIGNIFICANT
UPPER WEST,4.5,1.044424381787242,0.012,NOT_SIGNIFICANT
VOLTA,3.2,-0.6118225668457797,0.177,NOT_SIGNIFICANT
WESTERN,3.6,-0.6447827051270346,0.203,NOT_SIGNIFICANT
WESTERN NORTH,3.8,-0.5623823594238985,0.066,NOT_SIGNIFICANT
