indicator,n_obs,order,baseline_aicc,covid_2020_n_post,covid_2020_testable,covid_2020_delta_aicc,covid_2020_pct_change_2030,currency_2022_n_post,currency_2022_testable,currency_2022_delta_aicc,currency_2022_pct_change_2030
life_expectancy_birth_yrs_who,22,"(0, 2, 1)",-39.849401411375,2,True,-2.1291780889850713,-0.6186868595368852,0,False,,
hale_birth_yrs,22,"(0, 2, 1)",-38.41504795048737,2,True,2.7998340110165145,-1.7472487487689425,0,False,,
u5mr_who,92,"(2, 2, 0)",-913.7918020129795,4,True,-1.2243574337211385,-0.004933899026764508,2,True,-0.9523105114719783,-2.414572991948916
ncd_premature_pct,22,"(1, 0, 0)",-133.12520926097565,2,True,0.06071590495568557,-0.2056580360662049,0,False,,
ncd_3070_probability_pct,22,"(0, 1, 2)",-128.23499274119902,2,True,2.109060732179074,-0.8016925882500168,0,False,,
total_ncd_deaths,22,"(1, 1, 1)",-130.5320852561389,2,True,-2.1214261799603378,1.6315146400876164,0,False,,
suicide_rate_crude_who,22,"(1, 1, 0)",-79.20292920461063,2,True,2.216948178882049,4.036429189219535,0,False,,
suicide_rate_agestd_who,22,"(1, 1, 0)",-84.54880484210206,2,True,-1.9753077673815653,0.1327312492935511,0,False,,
tb_incidence_per100k,25,"(2, 1, 0)",-180.57093619744637,5,True,-1.7368533561782158,-0.1660072929638834,3,True,0.9616348205326517,-0.03577874008130754
hiv_new_infections_n,25,"(1, 1, 2)",-87.92015528580323,5,True,-0.2904287355309805,-3.3833499015947797,3,True,-2.576068922722456,6.871035808242432
hiv_new_infections_per1000,35,"(2, 2, 0)",-103.28603004710358,5,True,-2.171669530423003,-0.11106895879015198,3,True,-2.5055780133648113,-1.4302232503665302
malaria_incidence_per1000atrisk,24,"(2, 1, 0)",-84.23892942837023,4,True,-0.236183808218712,-2.6729476818014026,2,True,9.025298978631866,26.515050144064666
oop_pct_che,23,"(1, 0, 0)",-8.267504055438765,3,True,3.2622167084054308,-23.062716573523797,1,False,,
oop_percapita_usd,23,"(1, 1, 0)",10.192787053887427,3,True,-2.578580482093116,0.2491041103924215,1,False,,
che_pct_gdp,23,"(0, 1, 1)",-13.159629485873106,3,True,0.6730212228254455,-0.21448949641435486,1,False,,
che_percapita_usd,23,"(1, 1, 0)",-4.9592644019567445,3,True,-1.060319835415592,0.7327209503557093,1,False,,
life_expectancy_birth_yrs_wb,64,"(2, 2, 0)",-46.329841915684206,4,True,12.055809917402698,2.578569535262103,2,True,36.39202249701709,-1.1047398710557803
suicide_rate_wb,22,"(1, 1, 0)",-79.40998926360511,2,True,2.4264843138458616,4.290710201261809,0,False,,
che_pct_gdp_wb,23,"(0, 1, 1)",-13.159629485873106,3,True,0.6730212228254455,-0.21448949641435486,1,False,,
tfr_national_wb,64,"(1, 1, 0)",-436.67977130349294,4,True,-2.169538106615164,0.32483493292584664,2,True,-1.4808873130031657,0.2266612719611732
pm25_exposure_wb,31,"(0, 0, 1)",-58.16779938032606,1,False,,,0,False,,
